"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"PCYT2",620.604767638148,-1.87177979775293,0.145350783195498,-12.8776725973012,6.01213313103237e-38,3.08811739882085e-36,"Down"
"TET1",9.50771908808028,-1.8596885597156,0.711198050848617,-2.61486734601786,0.00892621159191359,0.0193082861376343,"Down"
"SDF2L1",818.836362121366,-1.85683081278327,0.192738239356894,-9.63395130607667,5.74758564473534e-22,1.49759856310744e-20,"Down"
"FAM173A",367.704946225575,-1.83227571366049,0.222976319534608,-8.21735562540803,2.08039457452909e-16,3.58153642892487e-15,"Down"
"SLC25A10",1091.62879039654,-1.82306677954812,0.172802059825612,-10.5500292148596,5.07813025338053e-26,1.65309627183424e-24,"Down"
"ENDOG",119.112184415808,-1.80399318929509,0.260689170802659,-6.92009255214023,4.51348668708833e-12,5.07787510316679e-11,"Down"
"CASR",109.063379046274,-1.79932928184085,0.23859521949638,-7.54134674466159,4.65142493554094e-14,6.41323528241304e-13,"Down"
"GPR137C",26.3945013381087,-1.79841566715084,0.480037414964067,-3.74640728220207,0.000179385262260548,0.000595716876500117,"Down"
"TMEM238",363.992022467565,-1.79610325832637,0.578579027260835,-3.1043352311432,0.00190707116483948,0.00495466892805414,"Down"
"ACAT2",2447.30418788075,-1.79247744483885,0.118207382983777,-15.1638366368778,6.13767900492955e-52,4.29740396473643e-50,"Down"
"IL17RB",292.903765516799,-1.79170265965905,0.165744825738677,-10.8100065970322,3.08647871675623e-27,1.05980377416728e-25,"Down"
"SAC3D1",228.062055159863,-1.78922910837054,0.192479117161378,-9.29570508612848,1.46233712746501e-20,3.46455032486182e-19,"Down"
"SCARA3",184.548671885849,-1.78725076982932,0.19509197737023,-9.16106748171205,5.13864486322962e-20,1.17523058523461e-18,"Down"
"THOP1",705.898110534621,-1.77606849438363,0.166916211130306,-10.6404793300581,1.93133214394236e-26,6.42052672679829e-25,"Down"
"HTRA1",23.9255825133277,-1.77592624515865,0.465486670720542,-3.81520322034064,0.000136070904897388,0.000464048068320807,"Down"
"GJB1",942.979652893558,-1.76993935877274,0.136256614204365,-12.9897500323771,1.3988318349976e-38,7.30481641167703e-37,"Down"
"ANXA9",300.244470893983,-1.76620844586161,0.176681780607911,-9.99655108627833,1.57797239706039e-23,4.45421802981032e-22,"Down"
"BDH1",300.022879476488,-1.7631023170922,0.162199605968237,-10.8699543785419,1.60280974626131e-27,5.58000404163695e-26,"Down"
"LRRC6",17.7757998327003,-1.75652047699403,0.501254875580073,-3.50424616810222,0.00045790186391654,0.00138186469069733,"Down"
"C21orf58",101.758842153567,-1.75434309904853,0.230818452741441,-7.60053227206109,2.94915205051483e-14,4.12519225994446e-13,"Down"
"PGP",1001.38752549523,-1.75295451865655,0.172810496745477,-10.1437965382299,3.53103654476437e-24,1.05117532103401e-22,"Down"
"SLC2A5",8.88052540374803,-1.75087687295215,0.726239142357174,-2.41088199579726,0.0159139964533423,0.0321382722445599,"Down"
"CCDC34",326.330717464361,-1.74164577198305,0.177262756525504,-9.82522107926525,8.76814306362296e-23,2.36325025841691e-21,"Down"
"C1orf53",62.5514242431554,-1.7390765209771,0.303472473783564,-5.73059065059523,1.00081524471302e-08,7.18809023609646e-08,"Down"
"TMEM97",1759.73903667881,-1.73815883244644,0.112962532896987,-15.3870384088458,1.9997808746303e-53,1.49186033938938e-51,"Down"
"DERL3",39.9257956278319,-1.73777689419828,0.351657800219408,-4.94167026329017,7.74561326141367e-07,4.07197026028932e-06,"Down"
"GATM",30.1690342260711,-1.7371070496952,0.427243763934895,-4.06584530034219,4.78586757997695e-05,0.00018093899963756,"Down"
"WDR34",946.023433937354,-1.72556031800481,0.174689928907217,-9.87784658680183,5.1936982350357e-23,1.42434617023419e-21,"Down"
"ITPKA",9.71930824946606,-1.72551868323033,0.700315809645328,-2.4639150786903,0.013742866788301,0.0282823233920815,"Down"
"ADH1C",11.5950384766465,-1.7229026907598,0.672920287930877,-2.56033696956507,0.0104570714389084,0.0221757151174009,"Down"
"C2CD4B",147.06590956221,-1.71961049523415,0.257094378077148,-6.68863515451178,2.25261548828278e-11,2.33129891945897e-10,"Down"
"LINC00461",8.60543164693101,-1.70801227322896,0.73635290262679,-2.31955665162176,0.0203648731373338,0.0399363096589272,"Down"
"MCM5",1050.93856698921,-1.70716968946666,0.128555397924392,-13.2796422167408,3.03842446240789e-40,1.64850968776442e-38,"Down"
"LSS",1273.16308522658,-1.7049937096694,0.133385258982606,-12.7824747852515,2.05427269481348e-37,1.04659348309339e-35,"Down"
"ALDH16A1",439.590613051469,-1.70186119138676,0.161879543110223,-10.5131331525193,7.51544236741441e-26,2.40897798441956e-24,"Down"
"IFT122",245.751839187256,-1.69744467039836,0.172847749939974,-9.82046148120437,9.19217710227423e-23,2.4722222236653e-21,"Down"
"CSPG5",176.920627073068,-1.69526324127674,0.188573833463218,-8.98991768975946,2.47415654754354e-19,5.41162373653808e-18,"Down"
"SLC22A18AS",93.724380912691,-1.69059965941762,0.257323835920829,-6.56993027236611,5.03388290448688e-11,4.96973489216459e-10,"Down"
"PCSK9",2122.06463051001,-1.68796448092138,0.141815933003997,-11.9025023857778,1.14850740456427e-32,5.08630505349963e-31,"Down"
"KIF20A",806.064398374453,-1.68788192579137,0.138859963321505,-12.1552813742532,5.37763200534053e-34,2.48700597501597e-32,"Down"
"FANK1",24.7112236139987,-1.68774111775539,0.488944968841769,-3.45180178815088,0.000556856634696075,0.00163674582613647,"Down"
"TM7SF2",686.277162593326,-1.6876118785949,0.145930436135552,-11.5644955451741,6.2356685242508e-31,2.52917908137331e-29,"Down"
"FAM81A",88.2976873828453,-1.68569083159117,0.243983024462415,-6.90904965747257,4.87911161637546e-12,5.46469221519515e-11,"Down"
"CYS1",81.7274140924581,-1.68042549072133,0.258495868632498,-6.50078277695949,7.99031396699882e-11,7.66788705577306e-10,"Down"
"ANKS4B",40.1947631520323,-1.67925852898911,0.344161222175349,-4.87927872400898,1.06474505019156e-06,5.46232079985705e-06,"Down"
"IGSF9",112.89719479626,-1.67797624543681,0.237649020295897,-7.06073285447403,1.65626744598595e-12,1.9546139266047e-11,"Down"
"NEFL",482.474115128422,-1.67236152512372,0.144088927848529,-11.6064540842567,3.82136084257503e-31,1.56003633355026e-29,"Down"
"WDR90",352.150226137469,-1.66888937162392,0.175331518680346,-9.51847896022928,1.75732276048478e-21,4.41373269682479e-20,"Down"
"TESC",4106.03502258773,-1.65158659838171,0.140878257319848,-11.7235024751333,9.65941268371878e-32,4.06246373037072e-30,"Down"
"PROC",16.0474786763203,-1.64868148144429,0.522275949582649,-3.15672487458355,0.00159551809098076,0.00423388275127288,"Down"
"FGFR3",487.160961254048,-1.63836205186745,0.164631416963306,-9.95169744686472,2.47917870486232e-23,6.88947820577372e-22,"Down"
"AGR3",43.6231807860949,-1.63750564323514,0.349260215492785,-4.68849748868394,2.75218292439935e-06,1.31955273877189e-05,"Down"
"PARD6G",15.1799373880635,-1.63741794254997,0.546400171126787,-2.99673760931167,0.00272885482340721,0.00681696980302224,"Down"
"PIF1",88.6026504344998,-1.63075141067689,0.269917479507253,-6.04166656288397,1.52530433275985e-09,1.25027071304639e-08,"Down"
"NUDT8",75.1103302307615,-1.62761395190929,0.318659004467907,-5.10769797522923,3.2610734805454e-07,1.83607519908695e-06,"Down"
"COMMD4",726.885617007808,-1.62458772204894,0.162991247677888,-9.96733103890053,2.11845024359056e-23,5.92645913011619e-22,"Down"
"RERG",94.0260974098051,-1.62302350315586,0.23974878487194,-6.76968395907738,1.29064013647478e-11,1.38489664644165e-10,"Down"
"TGFBR3L",23.68050500536,-1.62178928398672,0.461592053529969,-3.51346881209128,0.000442296333947049,0.0013379917821285,"Down"
"MMAB",669.563480983701,-1.61775069684448,0.158823778902379,-10.1858217203032,2.29413424406647e-24,6.87856088059452e-23,"Down"
"LAGE3",421.028112496689,-1.61469606552355,0.206337157474567,-7.8255224860436,5.05552817000347e-15,7.73637784550104e-14,"Down"
"RASL11A",17.2404072292431,-1.61468300334357,0.516651587521493,-3.12528412249657,0.00177633397743529,0.00465067761420441,"Down"
"C2orf72",12.9527268644362,-1.60073177916731,0.606591050463574,-2.6388977845024,0.00831760554042344,0.0181294869979351,"Down"
"MVK",538.144535048364,-1.59780812912006,0.161737682542083,-9.87900966556955,5.1337746176714e-23,1.41099994042271e-21,"Down"
"SLC2A8",124.49673921608,-1.5969317763531,0.232292517610841,-6.87465869661988,6.21384492493972e-12,6.87969244207327e-11,"Down"
"CLEC11A",47.528778791667,-1.59673499760929,0.351733518640626,-4.53961568343081,5.63568539081458e-06,2.54072104327623e-05,"Down"
"MAOB",1361.90134050058,-1.59497087075559,0.118825323927994,-13.4228194633168,4.44475530879161e-41,2.48688028058416e-39,"Down"
"MPND",168.294274147673,-1.59073883858194,0.20732802687631,-7.67257019009284,1.68583651960143e-14,2.43979088916452e-13,"Down"
"PXMP2",354.633694464197,-1.58900230530955,0.17169481165576,-9.25480677013952,2.14618247286459e-20,5.02768316493679e-19,"Down"
"NT5DC2",1642.32513958648,-1.58896128853073,0.130666244824933,-12.1604572830544,5.04753475275852e-34,2.34299085393787e-32,"Down"
"GINS2",517.022025275626,-1.58300086679175,0.161906984344425,-9.7772240845659,1.41025312925604e-22,3.76057499339701e-21,"Down"
"DLGAP5",635.316278005244,-1.5780594318839,0.174874374733563,-9.02396039607415,1.81409598261842e-19,4.00988799826395e-18,"Down"
"CCNB1",1593.28274212598,-1.57719305359368,0.120043699837046,-13.1384908640325,1.98138986109423e-39,1.06122902261085e-37,"Down"
"KIF12",175.567619367836,-1.57659579279939,0.21695275800509,-7.26700046266478,3.67557547412393e-13,4.67200683744374e-12,"Down"
"RECQL4",1389.92144062228,-1.57182803919657,0.150352430903892,-10.4542908268727,1.40042500017547e-25,4.45470216426374e-24,"Down"
"REEP1",94.0682030975269,-1.56738680778233,0.270886807193698,-5.78613194204608,7.2025648826347e-09,5.30374533925151e-08,"Down"
"AQP1",108.963710717299,-1.56470871808968,0.242291747864187,-6.45795299213723,1.06128694234377e-10,1.00537484870706e-09,"Down"
"FBXW9",91.0408022239186,-1.56456405404035,0.257841485311532,-6.06792988393621,1.29569445330861e-09,1.07613907112769e-08,"Down"
"ZNF771",130.709018186424,-1.56422709670024,0.253345586291372,-6.17428201374399,6.64648123992523e-10,5.74089244520902e-09,"Down"
"ADAT3",30.2268705563106,-1.56134809116391,0.411629720137488,-3.79308882420445,0.00014878490477287,0.000502484831990939,"Down"
"PLIN5",22.0552798018553,-1.55965953725894,0.470610817089833,-3.31411748438673,0.000919328709575475,0.00258108125383276,"Down"
"NSDHL",1042.43786664598,-1.55779580253735,0.126509959843561,-12.3136218244293,7.65110226753931e-35,3.64605569274031e-33,"Down"
"CDCA3",423.965883364059,-1.55597981119343,0.157933322811635,-9.85213116201716,6.71057150704795e-23,1.828338971692e-21,"Down"
"FASN",4497.6909978227,-1.55288125012548,0.142181046687248,-10.9218583370068,9.06223736033298e-28,3.1993526996353e-26,"Down"
"QRFPR",17.2123376127786,-1.55242765185322,0.510547221155062,-3.04071315546681,0.00236018564206627,0.00598789608340417,"Down"
"HR",238.374246455927,-1.546584136675,0.185290782269931,-8.34679479318052,7.01404297604061e-17,1.26849928742737e-15,"Down"
"HPGD",85.2327875295776,-1.5410135318913,0.266133725881213,-5.79037296678107,7.02302981920276e-09,5.18372395312533e-08,"Down"
"AIF1L",560.170588159543,-1.53962865065229,0.137759230811658,-11.1762285661804,5.33075642824958e-29,2.0003104884806e-27,"Down"
"SLC9A3R1",1633.44653080022,-1.53826407722918,0.139914523648827,-10.9943130785342,4.07000636620027e-28,1.47425982045052e-26,"Down"
"GAMT",343.103665270551,-1.53103416177693,0.203380385058368,-7.52793422697834,5.15493452126008e-14,7.07631920645702e-13,"Down"
"ARMC3",10.0911968773592,-1.53071279074271,0.66138344688822,-2.31441049506855,0.0206452157418647,0.0403849678309335,"Down"
"POLR2F",930.186703080975,-1.52813186259966,0.159969417878811,-9.55265001812618,1.26420369295844e-21,3.20086159269658e-20,"Down"
"FAM229A",16.10759417499,-1.52512865724177,0.558774862749402,-2.72941529570159,0.00634467462553978,0.0143150000963974,"Down"
"MME",279.18952832372,-1.52348045624126,0.16960367133406,-8.98259126266518,2.64463467123608e-19,5.76438371036554e-18,"Down"
"ZBTB8B",11.1176771072061,-1.52252908918352,0.642981755203152,-2.36791958226322,0.0178884236353331,0.0356035593809163,"Down"
"CCDC74B",16.4571640468503,-1.52115873852709,0.52896401989514,-2.87573196155882,0.00403091847281604,0.00962185521744372,"Down"
"VIL1",225.811800802224,-1.5196755759978,0.16822332360386,-9.03367941758424,1.65994495926551e-19,3.67563430644427e-18,"Down"
"AGMAT",49.396054679473,-1.51845558157814,0.323169306038493,-4.69863799935652,2.61902196981375e-06,1.26101430455919e-05,"Down"
"NT5M",15.6687444614763,-1.51620278291632,0.586447336235953,-2.58540313721587,0.00972651980130952,0.0208451560652894,"Down"
"FDFT1",5551.47555832752,-1.51483178522789,0.104844659199033,-14.4483447874268,2.567827867855e-47,1.6674915371931e-45,"Down"
"NRGN",58.3697071384472,-1.51281803956196,0.339197822609525,-4.45998747257136,8.19644437330883e-06,3.58555104121046e-05,"Down"
"CENPM",739.863176398814,-1.50977733671091,0.150271988596075,-10.0469645129215,9.47408129132335e-24,2.74858011167027e-22,"Down"
"CDKN3",307.068067687137,-1.49414408960137,0.167114628253528,-8.94083363746361,3.86245473347322e-19,8.31755071728864e-18,"Down"
"OIP5",76.4304295533624,-1.49188043785441,0.27299736656425,-5.46481622379788,4.63386624563414e-08,3.01694782631339e-07,"Down"
"FAM173B",104.482761125861,-1.490320953295,0.235214430641961,-6.33600986651852,2.35791695309103e-10,2.15010102673191e-09,"Down"
"FBXO9",421.094733825267,-1.48987655983344,0.143496079296542,-10.3826987269425,2.97251440025665e-25,9.31363074460415e-24,"Down"
"RIMKLA",44.3069408888006,-1.48833768337574,0.369719239246916,-4.02558894800105,5.68328920910288e-05,0.000211800962407631,"Down"
"B9D1",75.6882656446077,-1.48771346508506,0.274056387064396,-5.42849404467807,5.68315418591477e-08,3.63959996995758e-07,"Down"
"FAM20A",11.5569079838999,-1.48766679261339,0.632965704855522,-2.35031184344018,0.0187576885587089,0.0371742743052338,"Down"
"TCTEX1D2",71.7804269347747,-1.48588833737778,0.276881516188324,-5.36651329360366,8.02732866493338e-08,5.0202849380045e-07,"Down"
"EBP",2222.36798337113,-1.48580742961735,0.132005278757014,-11.2556667703593,2.17177355467024e-29,8.27320302756296e-28,"Down"
"FZD1",103.000502488459,-1.48548313841432,0.229451123896851,-6.47407218228364,9.53962925961705e-11,9.0713333467967e-10,"Down"
"MALL",154.623990377221,-1.48398156931373,0.212871789846521,-6.97124579251987,3.14146556368367e-12,3.62541325134875e-11,"Down"
"IHH",87.2490151762139,-1.48313013342835,0.264983161055778,-5.59707314049346,2.18000754499631e-08,1.49874023924513e-07,"Down"
"KPNA2",2507.98632545575,-1.47953157215791,0.110314875065166,-13.4118954609151,5.15053931106794e-41,2.86896485269398e-39,"Down"
"CCNF",554.893989950557,-1.47917328445787,0.15389648762172,-9.61148176489712,7.15123484733973e-22,1.84416515106397e-20,"Down"
"SPC24",144.360227627809,-1.47700831719334,0.21276698440859,-6.9419055841716,3.86845742975075e-12,4.38763592462138e-11,"Down"
"SPAG5",796.488447047756,-1.47607993896308,0.126519773884538,-11.6667924202121,1.88393146513825e-31,7.84429005069028e-30,"Down"
"LIPT2",30.147141099166,-1.47004741026358,0.437183128915904,-3.36254377864238,0.000772278795077554,0.00220126680434546,"Down"
"PHB",5149.14063773903,-1.46967061734988,0.124635365873428,-11.791762370581,4.3043821009614e-32,1.86023520246032e-30,"Down"
"TSPAN12",143.83814091614,-1.46881358006871,0.232841890771479,-6.3082015663164,2.8229642106708e-10,2.54350901885961e-09,"Down"
"THEM6",2154.9130822741,-1.46873165057323,0.135378299427431,-10.8490921867469,2.01415843017602e-27,6.95411779762976e-26,"Down"
"LGI2",25.2893493470266,-1.46716128172052,0.447414047295717,-3.27920254312178,0.00104100891148291,0.00288649661230426,"Down"
"CRIP2",1213.56440029608,-1.46205807537559,0.173891749751668,-8.40786338318832,4.17547094613086e-17,7.76426963914809e-16,"Down"
"LYNX1",33.7503406651399,-1.46126058542361,0.381335472450565,-3.83195556404222,0.00012712870469386,0.000436850472708171,"Down"
"SHMT1",593.466509429778,-1.46043121499958,0.136702241596542,-10.683301151051,1.21859655559426e-26,4.08360177306494e-25,"Down"
"ADAM22",32.1379199310896,-1.45995887575916,0.404075261590882,-3.61308650772425,0.000302573699994617,0.000956582163013566,"Down"
"MARC1",159.77840658688,-1.45820923672956,0.190023286479249,-7.67384494683389,1.66915832685009e-14,2.4184463942673e-13,"Down"
"UCP2",213.976158823548,-1.45716570114997,0.190189666036197,-7.66164498586711,1.83566487842683e-14,2.63532507689845e-13,"Down"
"FDPS",4151.43636460584,-1.45701562772835,0.126265780371004,-11.539275514294,8.36265820294643e-31,3.35926907876691e-29,"Down"
"MZT2B",2140.54500299887,-1.45349826813908,0.390943375542955,-3.71792530342894,0.000200865639449806,0.000660921254718934,"Down"
"TMSB15A",13.4494931595741,-1.45111407157611,0.581970314692009,-2.49345032717704,0.0126508283907264,0.0262548157345545,"Down"
"PFN1",10618.5105768665,-1.45029813275766,0.144085340003046,-10.0655495744883,7.84479600484303e-24,2.28117931157071e-22,"Down"
"FAM83D",1023.78318545124,-1.44972142248359,0.124442693580082,-11.6497110499353,2.30238163329554e-31,9.5233495082815e-30,"Down"
"LRP3",39.1056065050132,-1.4477329719933,0.360653684981683,-4.01419154241231,5.96498933439925e-05,0.000221423974229606,"Down"
"RNASEH2C",306.943416569671,-1.4450951194675,0.175357772754991,-8.24083869659188,1.7100764746725e-16,2.96436908119923e-15,"Down"
"SLIRP",630.217327846832,-1.44209587392335,0.144129595151464,-10.0055500218943,1.44088754500651e-23,4.09493052189718e-22,"Down"
"PTDSS1",691.976461871918,-1.44201032285457,0.130484531042606,-11.0511974969947,2.16310035793723e-28,7.95018674077048e-27,"Down"
"PRADC1",247.909582322552,-1.44165433205571,0.205586005843245,-7.01241471248263,2.34239653218616e-12,2.72836949236888e-11,"Down"
"ALKBH7",312.218023349915,-1.44151489066346,0.234732003409403,-6.14110930646842,8.19471671009661e-10,7.00575610693321e-09,"Down"
"TPPP3",269.1626409269,-1.44108898794309,0.171599736169556,-8.39796738684471,4.54273314389133e-17,8.4346777025763e-16,"Down"
"HYDIN",19.1140528057987,-1.43789675628197,0.523776544855541,-2.7452484659819,0.0060465099436825,0.0137209685178658,"Down"
"DPCD",170.946317402165,-1.43671074877182,0.201647333347783,-7.12486857584133,1.04180046091632e-12,1.25426370573143e-11,"Down"
"CDH6",46.8715000776341,-1.43666541793369,0.316374670726688,-4.54102540710286,5.59812841216268e-06,2.52560631352177e-05,"Down"
"DBI",2858.8252802843,-1.43450280538617,0.118793823958743,-12.0755672103322,1.4218044382127e-33,6.47980909967992e-32,"Down"
