"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance"
"BRAF",57.52264111184,1.55435062416605,0.270348192515093,5.74943967520432,8.95396927169287e-09,1.37695684815196e-07,"Up"
"TBX2",19.3421383191841,1.55405119570938,0.463437468556979,3.35331366397344,0.000798501594143009,0.00418884948823592,"Up"
"TIPARP",268.589018822286,1.55399417319396,0.153338623800075,10.1343949403125,3.88772910544032e-24,2.82104798201951e-22,"Up"
"UTP15",118.607210661876,1.55276405986088,0.213461444192634,7.27421322259782,3.48445250991904e-13,9.32110276273708e-12,"Up"
"UFM1",206.009917173238,1.55145369805343,0.180128927846113,8.61301800107789,7.11619148973489e-18,3.18206673330655e-16,"Up"
"ZNF543",11.7189715741802,1.55125188133543,0.56963958140421,2.72321645471241,0.00646496846805832,0.0245510773725888,"Up"
"PRKAR2B",11.8361197382064,1.5505017941013,0.617454114649413,2.51112067652456,0.0120348548149476,0.0411740176870512,"Up"
"LOC100129917",27.5449051221016,1.55023964087872,0.422773121797183,3.66683585344486,0.000245570319439179,0.00149163966464359,"Up"
"ZNF567",80.4366459930866,1.54787527334869,0.229042437779856,6.75802828660263,1.39882225728264e-11,3.11766761917333e-10,"Up"
"TGIF2",38.6511125159403,1.54718599017186,0.347621711162356,4.45077490988255,8.55609862128157e-06,7.53508743406178e-05,"Up"
"DHRS2",25.1911591788967,1.5470476068907,0.427507116405323,3.61876457145087,0.000296012774499387,0.0017523609190931,"Up"
"ZNF34",25.9773181164099,1.54662740829825,0.394461326513966,3.92085942104007,8.82337272021421e-05,0.000605102606811295,"Up"
"PDE4B",166.959805781399,1.54518214879313,0.181141717874637,8.53023901353586,1.46045657961384e-17,6.29815403265499e-16,"Up"
"ADORA2A",15.6426259788369,1.54449596787821,0.496956386692839,3.10791049121347,0.0018841512348256,0.0087379045784985,"Up"
"CXCL5",2046.15218107786,1.54282632729825,0.10894808792042,14.161114313683,1.59445634936311e-45,3.71569654645812e-43,"Up"
"ETV3",52.6684074955805,1.54278819702898,0.295439685611031,5.22200730696746,1.76993983515135e-07,2.19530510976091e-06,"Up"
"CSF1",320.594081595498,1.54200917749068,0.178030458409375,8.66149079920291,4.65634113299507e-18,2.11331617414361e-16,"Up"
"ZNF467",22.8466938019537,1.54115016763713,0.432320077558939,3.56483598064451,0.000364083797297059,0.00209993691368194,"Up"
"BCL11B",15.4954907446445,1.53982224803114,0.500131585778919,3.07883423446047,0.00207812276189934,0.00948858011631357,"Up"
"YOD1",619.614541732044,1.53953084082563,0.122314348271092,12.5866741113109,2.49986126813218e-36,3.69430717649094e-34,"Up"
"EFNB1",103.594798583461,1.53878144650592,0.210872332999701,7.29721829609627,2.93777954657534e-13,7.94643137174106e-12,"Up"
"B3GNT5",133.723892374489,1.5386500548613,0.202943734569964,7.58165832575065,3.41165771744474e-14,1.03098424488766e-12,"Up"
"IFI6",24.6799424009706,1.53672790563229,0.447241336183518,3.4360149237228,0.000590338452816445,0.00322239701406742,"Up"
"ZSCAN12",32.1324277708933,1.53553468303058,0.37020575495627,4.1477871763824,3.35704242908467e-05,0.000257146903638736,"Up"
"JUN",897.084198474456,1.53408343598374,0.0987565458341422,15.5339924359057,2.04257329940778e-54,6.03704957127402e-52,"Up"
"HLA-F",65.1267805259781,1.53265514675415,0.270838454844904,5.65892737658626,1.52321990373663e-08,2.25636549271758e-07,"Up"
"PRDM1",30.6568935038252,1.53208541539808,0.362719681482474,4.22388277673901,2.40128983002912e-05,0.000190562083564459,"Up"
"FOXD1",56.4313752442232,1.53187096871116,0.29723339324391,5.15376469646567,2.55308268613996e-07,3.0481040384871e-06,"Up"
"HES4",50.4205365601521,1.53168141148884,0.37984208741442,4.0324162651774,5.52062882542354e-05,0.000400352962935263,"Up"
"GDF15",1136.64258207498,1.52921218412373,0.125885313494374,12.147661563333,5.90298936196449e-34,7.29922704982507e-32,"Up"
"ZNRD1",32.8807770729344,1.52859924774817,0.378678233885215,4.03667047895741,5.42151335960703e-05,0.000393872295513897,"Up"
"SLC30A1",391.771623886238,1.52204213247006,0.132576206160874,11.4805075250316,1.65307300803245e-30,1.74190771402933e-28,"Up"
"CPEB2",355.433856649875,1.52042916172869,0.13315397128846,11.4185791607739,3.3770979855023e-30,3.49774986224931e-28,"Up"
"JAK2",28.6034094391806,1.51533567871969,0.382052028215666,3.96630711737589,7.29947950884998e-05,0.000509533944056706,"Up"
"ZNF503",110.97028258936,1.51413734364451,0.206867727425277,7.31935020744806,2.49174543304107e-13,6.80066917963778e-12,"Up"
"LGALS9",28.6012093751023,1.51105657867542,0.379721577456691,3.97938033649869,6.90951273427674e-05,0.000485669810405833,"Up"
"SOCS4",411.84057979956,1.50968760884512,0.147731366417293,10.2191406297614,1.62777516518601e-24,1.21761601553852e-22,"Up"
"ZCCHC10",114.298448972262,1.50821527669528,0.234842919536463,6.42223014290667,1.34292181302548e-10,2.61632259328662e-09,"Up"
"GRIN2C",121.85829325413,1.50578592145034,0.413798901477622,3.63893165514304,0.000273771437918824,0.00163185552616838,"Up"
"TGM2",673.628085985255,1.50274697400223,0.115152032850231,13.0501124192634,6.34537018859149e-39,1.03909724250475e-36,"Up"
"ELL2",158.964329438437,1.50225713785551,0.172125312485179,8.72769446960256,2.59916680527409e-18,1.21502553070918e-16,"Up"
"RRAD",47.3590885304867,1.49573838789084,0.315123979643543,4.7465076747976,2.06958875320365e-06,2.07266748027454e-05,"Up"
"RASSF9",102.31682356276,1.49210271020884,0.214453344936893,6.95770313420812,3.4586505170168e-12,8.3489894353007e-11,"Up"
"HBP1",287.471387776234,1.49184566977869,0.15288221627001,9.75813738298959,1.702532962115e-22,1.12739313851965e-20,"Up"
"ZXDA",19.9245078368601,1.48560317952674,0.444902421640675,3.33916631437576,0.000840302383802966,0.00436093545478558,"Up"
"RELB",189.562138211313,1.48328796727973,0.163968403100519,9.04618169861921,1.48054998545934e-19,7.53836332932617e-18,"Up"
"BCL10",157.224351363861,1.48274247367765,0.194236081647881,7.63371285653109,2.28087625274169e-14,7.01514173368624e-13,"Up"
"ZBTB34",151.752898534886,1.48271215342108,0.18581656035412,7.97944031788879,1.4699830121035e-15,5.14833934701452e-14,"Up"
"ING1",47.4082531801042,1.47994236254922,0.328127108913726,4.51027154522104,6.4744694209358e-06,5.83762056866815e-05,"Up"
"MBIP",100.442084017327,1.47927604012236,0.217028280713889,6.8160519691556,9.35764569855214e-12,2.12750376313424e-10,"Up"
"CCDC71L",59.1314904671209,1.47848962495475,0.265435634393769,5.57004950873112,2.54666960098593e-08,3.63492841280889e-07,"Up"
"TAF1D",174.53131802932,1.47451280613902,0.198681690498419,7.4214830890557,1.15816043525656e-13,3.24124437746859e-12,"Up"
"C3orf38",150.87962391191,1.47333363021787,0.196456975478583,7.4995231227027,6.4050423579339e-14,1.83490078707903e-12,"Up"
"THAP9-AS1",90.9789123497408,1.47293557685043,0.248967379718933,5.91617897297741,3.29506659520107e-09,5.388612280789e-08,"Up"
"ZBTB48",45.3511850192074,1.47051289873189,0.303077482886475,4.85193715061541,1.22261371008175e-06,1.27391512801124e-05,"Up"
"NFAT5",570.417147020119,1.46365703803115,0.122206287561589,11.9769372528684,4.69344628974919e-33,5.52186234360978e-31,"Up"
"ZNF776",87.647563240515,1.46332123115544,0.246714451585697,5.93123435514338,3.00665700841591e-09,4.97062341445894e-08,"Up"
"PPP1R18",342.254087360381,1.46022472994556,0.156243836622455,9.34580692276531,9.11914353480406e-21,5.1160083960535e-19,"Up"
"SLC45A4",108.280930145987,1.45574312908662,0.215454103994042,6.75662752345101,1.41240670122078e-11,3.14046686337494e-10,"Up"
"EXOC8",152.691493408895,1.45475635753911,0.199124704618961,7.30575525685218,2.7571362787003e-13,7.50808481467196e-12,"Up"
"LINC00641",121.898109136126,1.45421050853682,0.190651566620279,7.62758226599404,2.39197168074906e-14,7.33820577906762e-13,"Up"
"AGT",23.6131203717267,1.4538439569161,0.432201198753773,3.36381287490217,0.00076873646250075,0.00405552827713717,"Up"
"ADAP1",11.0887254691244,1.45379671214785,0.582528006963865,2.49566835374155,0.0125720081590524,0.0426385655951293,"Up"
"ZNF669",16.1999307533611,1.45177201746854,0.516035271774884,2.81331935407289,0.0049032927706659,0.0195005256957432,"Up"
"ANKRD12",133.088627047216,1.45141009006025,0.217019858777281,6.68791371553595,2.26374533814448e-11,4.89049594953506e-10,"Up"
"C9orf163",14.0791093090672,1.45079876065188,0.57279385450975,2.53284623993324,0.0113140570068851,0.039174895517552,"Up"
"PMAIP1",247.144949001011,1.44749330103214,0.159125422676198,9.09655589086865,9.3241719674759e-20,4.89135566674775e-18,"Up"
"ZNF431",18.1807087254989,1.44532283891973,0.459141317066766,3.14788232989618,0.0016445788121161,0.00780000236603636,"Up"
"CEBPD",204.967092411164,1.44511992258574,0.185489000585364,7.79086586280185,6.65515376924222e-15,2.19149873303471e-13,"Up"
"ZNF12",230.929231877029,1.44255611926694,0.156958742300192,9.19067073376507,3.9039937525071e-20,2.09330072092394e-18,"Up"
"ZNF8",67.6925336014775,1.43959497395941,0.248575150850975,5.791387308953,6.98073900985261e-09,1.08591264854164e-07,"Up"
"VDR",12.875428298898,1.43717584138135,0.557969240478451,2.57572593096528,0.0100029898800251,0.0352475229328713,"Up"
"ARMCX5",71.0796592822546,1.43461702135952,0.291135641747547,4.92765850566494,8.32209048018025e-07,8.88520638227527e-06,"Up"
"CPEB4",379.971477245997,1.43031173205151,0.145949617147782,9.80003757463257,1.12543773251855e-22,7.5348367086518e-21,"Up"
"FAM84B",44.0300442822071,1.43022922864336,0.315314945533539,4.5358751587981,5.73651073463458e-06,5.24641789300391e-05,"Up"
"PNN",2157.70939248536,1.42987389146051,0.127105870826799,11.2494716582284,2.32983452936938e-29,2.3333003989172e-27,"Up"
"SNORD22",13.7940837067123,1.42813103529079,0.571461912063069,2.49908349995717,0.0124514968596997,0.0423246112050045,"Up"
"ZNF460",19.7544226778024,1.42796555515281,0.445411022657307,3.20595019547027,0.00134617285936795,0.00654874456436004,"Up"
"ZNF510",40.9893031371387,1.42526633793437,0.32379524835808,4.40175186375247,1.07380321894764e-05,9.28127489815087e-05,"Up"
"ARRDC4",13.5910387304174,1.42517332696051,0.549093901101792,2.59550019423054,0.0094453349563916,0.0336444941215619,"Up"
"BTG2",1571.25584985849,1.42470898757109,0.126985610867553,11.2194521712942,3.27291611094184e-29,3.17289579459146e-27,"Up"
"RHOV",38.2130653771274,1.4241145355892,0.329839435974439,4.3175993537036,1.57735413131143e-05,0.000130093381322028,"Up"
"FBXO5",25.4305322023082,1.42247114932087,0.400876862402804,3.54839922861789,0.000387580273738697,0.00222066087809245,"Up"
"UNC5CL",40.4713286917677,1.4194996969336,0.345056596199034,4.11381701602022,3.89169965374319e-05,0.00029401257109763,"Up"
"TIFA",27.6865554885258,1.41826732002305,0.40321500524691,3.51739717413186,0.00043580116136945,0.00247582428110407,"Up"
"SIMC1",18.2977976304384,1.41584853945109,0.491771322938826,2.87907910325062,0.00398838281290786,0.0165122046213931,"Up"
"LINC00473",28.9388721116377,1.41583081037491,0.373526494297913,3.79044279853863,0.000150378962205565,0.000968789082406717,"Up"
"SMNDC1",301.064304660571,1.41419637358339,0.171629729684823,8.23981006193033,1.72484255231284e-16,6.65657390093216e-15,"Up"
"PPTC7",197.875993905798,1.41409363137667,0.157259268719163,8.99211628601678,2.42514934156909e-19,1.2194174158147e-17,"Up"
"SOCS5",333.378827231225,1.40886540866455,0.136457156774981,10.3245988848191,5.45463103977508e-25,4.23712941923041e-23,"Up"
"ZNF417",23.4421485269049,1.40490968413143,0.417073284790898,3.36849598227272,0.000755794985743256,0.00399072925369794,"Up"
